sample	fetch_over_scan.rDNA45S	fetch_over_scan.rDNA5S	fetch_over_scan.DJ	capture.rDNA45S	capture.rDNA5S	capture.DJ
HG00365	0.9997447071522307	0.9998882943072652	0.997822644497229	0.999615	0.99983	0.997837
HG00366	0.9995617938443329	0.9997323010635721	0.9976482617586913	0.999295	0.999727	0.997506
HG00367	0.9997400578309437	0.9999204802989942	0.9970288624787778	0.999556	0.9999	0.996768
HG00368	0.999681389143335	0.9999095520041188	0.9971943455271394	0.999596	0.999892	0.997
HG00369	0.9995789965190667	0.9998462060208371	0.9981316171891218	0.999435	0.999789	0.997924
HG00371	0.9995773591765321	0.9999118473195574	0.9976753588033151	0.999564	0.99988	0.997736
HG00372	0.9997161547991545	0.9999204043459227	0.9978878445453586	0.999596	0.999909	0.997777
HG00373	0.9997294314062496	0.999958579936121	0.9975392187019377	0.999563	0.999944	0.997562
HG00375	0.9996626730817962	0.9997566014067192	0.9976116303219106	0.999458	0.99968	0.997306
HG00376	0.9997843253550055	0.9999805441414519	0.9981513813289513	0.999671	0.999967	0.997942
HG00378	0.9997600968416418	0.9998914939276786	0.997918184657021	0.999641	0.999857	0.997616
HG00379	0.9997010374002212	0.9999453190632659	0.9975893512210461	0.999609	0.999918	0.997559
HG00380	0.9996547779662505	0.9999577983393646	0.9979748886188741	0.999627	0.999941	0.997819
HG00381	0.9997218238631913	0.9999462875763164	0.9978283350568768	0.99963	0.999927	0.997693
HG00382	0.9997905597291239	0.9999688136720861	0.9981410719818238	0.999697	0.999939	0.997826
HG00383	0.9997915306120279	0.9998986279513591	0.9979420018709073	0.999653	0.999862	0.997895
HG00384	0.9996100471540067	0.9998614631125164	0.9978334589299171	0.999465	0.999793	0.997666
HG00403	0.9997180460345013	0.9998889586250181	0.9979562640506847	0.999438	0.999863	0.997718
HG00404	0.9997595750488989	0.9998610066906324	0.9977797961449187	0.999632	0.999846	0.99759
HG00405	0.9997642016492014	0.9998717236071322	0.9975845410628019	0.999555	0.999834	0.997386
HG00406	0.9997773521892128	0.9999680155231327	0.9979216460563234	0.999631	0.999938	0.997647
HG00407	0.9997195531546932	0.999947310531966	0.9978894048121569	0.999624	0.999931	0.997681
HG00408	0.999820531782893	0.9999645161481096	0.998092177929511	0.999624	0.999965	0.997905
HG00409	0.9996694732008368	0.999914076287038	0.9977197346600332	0.999668	0.999893	0.997355
HG00410	0.9997051627088356	0.9998420493380432	0.9977873775155411	0.999639	0.999832	0.997543
HG00418	0.9998629301844101	0.9999415683066496	0.9981128327373857	0.999713	0.999915	0.997736
HG00419	0.9995446713539018	0.999793360804191	0.9975482684646032	0.999368	0.999803	0.997117
HG00420	0.9996873431705325	0.9996758594685418	0.9979099174417388	0.999531	0.999664	0.997739
HG00421	0.9995121239587792	0.9998599282832811	0.9978625954198475	0.999446	0.999799	0.997581
HG00422	0.9995750681758752	0.9998684444210569	0.9976049151306884	0.999544	0.999831	0.997265
HG00423	0.9997002733954822	0.9997920966485979	0.9979140592407176	0.999351	0.999764	0.997707
HG00427	0.9997088125792964	0.9998690601637372	0.9978782092085721	0.999579	0.999874	0.997669
HG00428	0.9996701495595165	0.9998094083840763	0.9973237261966033	0.999343	0.999803	0.996804
HG00429	0.9998071836659416	0.9999319736305056	0.9981366459627329	0.999632	0.99993	0.997968
HG00436	0.9997114950410597	0.9998619112586512	0.9980280228334198	0.999445	0.999816	0.99786
HG00437	0.9996213689615546	0.9999577809676602	0.9976822587442056	0.999606	0.999937	0.99743
HG00438	0.999691940983594	0.9999080412792479	0.9979928163955208	0.999576	0.999898	0.997666
HG00442	0.9997267848765978	0.9999340493687582	0.997787610619469	0.99962	0.999923	0.997458
HG00443	0.999635247328233	0.999831514455294	0.9978388391478851	0.999449	0.99978	0.997457
HG00444	0.9997083442304875	0.9998979272425383	0.9977064220183486	0.999586	0.99988	0.997493
HG00445	0.9997843124567399	0.9998984893953141	0.9974544343753181	0.999592	0.999845	0.997341
HG00446	0.9997072626998261	0.9999833388870376	0.9981179422835633	0.999659	0.999883	0.997521
HG00447	0.999541385345308	0.9998557614294042	0.9979023074617921	0.9995	0.999844	0.997606
HG00448	0.9997168903233111	0.9999609387715244	0.9973115388751478	0.999661	0.999945	0.996972
HG00449	0.9997901862756813	0.9999848402924812	0.9978152309612983	0.999717	0.999985	0.997478
HG00450	0.9996262865119381	0.9999661933739012	0.9976968174204355	0.999688	0.99994	0.997447
