sample	cls	assembly_Mb	assembly_gapped_Mb	ngsdose_Mb
HG01786	HSat2	38.354	0.0	47.4121
HG01786	HSat3	60.704	0.057	56.705
HG01786	bSat	15.76	0.0	12.3371
HG01786	aSatHOR	136.702	0.0	141.0316
HG01786	ACRO	2.755	0.0	2.1702
HG01786	SST1	1.6	0.0	0.4683
HG01786	CER	2.151	0.0	0.9608
HG01786	SATR	2.736	0.0	0.262
HG01884	HSat1A	24.938	0.0	24.2083
HG01884	HSat1B	2.155	0.0	1.7796
HG01884	HSat2	30.452	9.228	52.8175
HG01884	HSat3	71.818	0.078	70.2823
HG01884	bSat	18.065	0.0	13.7784
HG01884	aSatHOR	148.774	0.0	153.2307
HG01884	ACRO	3.849	0.0	3.0482
HG01884	SST1	2.393	0.0	0.6717
HG01884	CER	2.039	0.0	0.8717
HG01884	SATR	2.831	0.0	0.2873
HG01891	HSat1A	25.683	0.0	22.2177
HG01891	HSat1B	1.449	0.0	1.1944
HG01891	HSat2	19.413	9.813	45.0938
HG01891	HSat3	70.99	0.0	71.6543
HG01891	bSat	15.165	0.0	11.2612
HG01891	aSatHOR	137.124	0.0	137.9052
HG01891	ACRO	4.333	0.0	3.5569
HG01891	SST1	2.318	0.0	0.7189
HG01891	CER	1.845	0.0	0.8024
HG01891	SATR	2.737	0.0	0.2318
HG01928	HSat1A	19.811	0.0	19.0738
HG01928	HSat1B	11.649	0.0	10.6839
HG01928	HSat2	46.291	8.286	59.0146
HG01928	HSat3	77.803	0.0	75.6781
HG01928	bSat	16.742	0.0	12.1809
HG01928	aSatHOR	136.464	0.0	140.4604
HG01928	ACRO	3.994	0.0	3.139
HG01928	SST1	2.653	0.0	0.5851
HG01928	CER	1.822	0.0	0.7885
HG01928	SATR	2.742	0.0	0.2454
HG01934	HSat1A	22.198	0.0	18.7417
HG01934	HSat1B	12.464	0.0	11.3331
HG01934	HSat2	27.71	7.512	38.7825
HG01934	HSat3	88.234	0.0	83.8596
HG01934	bSat	13.37	0.0	9.0232
HG01934	aSatHOR	140.376	0.0	133.6489
HG01934	ACRO	3.475	0.0	2.7065
HG01934	SST1	2.297	0.0	0.5129
HG01934	CER	2.035	0.0	0.8798
HG01934	SATR	2.714	0.0	0.2478
HG01940	HSat1A	20.803	0.0	16.2878
HG01940	HSat1B	2.152	0.0	1.7822
HG01940	HSat2	46.139	0.0	44.1709
HG01940	HSat3	62.263	0.0	54.1486
